Year,Gender,Series,mean,ci_lower,ci_upper
1982,Any,Authors (000s),0.46,0.46,0.46
1982,Any,Mean co-authors (degree),1.74,1.58,1.86
1982,Any,Mean co-authored papers,1.96,1.71,2.2
1982,Any,Mean repeat co-authors,0.39,0.32,0.45
1982,Female,Authors (000s),0.03,0.03,0.03
1982,Female,Mean co-authors (degree),1.58,1.21,2.09
1982,Female,Mean co-authored papers,1.73,1.21,2.24
1982,Female,Mean repeat co-authors,0.39,0.21,0.61
1982,Male,Authors (000s),0.42,0.42,0.42
1982,Male,Mean co-authors (degree),1.75,1.58,1.94
1982,Male,Mean co-authored papers,1.97,1.77,2.24
1982,Male,Mean repeat co-authors,0.38,0.31,0.45
1982,Unknown,Authors (000s),0,0,0
1982,Unknown,Mean co-authors (degree),1,1,1
1982,Unknown,Mean co-authored papers,2.5,2,3
1982,Unknown,Mean repeat co-authors,1,1,1
1983,Any,Authors (000s),0.52,0.52,0.52
1983,Any,Mean co-authors (degree),1.87,1.72,2.02
1983,Any,Mean co-authored papers,2.13,1.91,2.36
1983,Any,Mean repeat co-authors,0.45,0.38,0.51
1983,Female,Authors (000s),0.04,0.04,0.04
1983,Female,Mean co-authors (degree),1.61,1.17,2.11
1983,Female,Mean co-authored papers,1.97,1.47,2.64
1983,Female,Mean repeat co-authors,0.47,0.31,0.67
1983,Male,Authors (000s),0.48,0.48,0.48
1983,Male,Mean co-authors (degree),1.89,1.75,2.04
1983,Male,Mean co-authored papers,2.14,1.95,2.38
1983,Male,Mean repeat co-authors,0.44,0.37,0.51
1983,Unknown,Authors (000s),0,0,0
1983,Unknown,Mean co-authors (degree),1.25,1,1.75
1983,Unknown,Mean co-authored papers,2,2,2
1983,Unknown,Mean repeat co-authors,1,1,1
1984,Any,Authors (000s),0.59,0.59,0.59
1984,Any,Mean co-authors (degree),2,1.86,2.17
1984,Any,Mean co-authored papers,2.32,2.13,2.54
1984,Any,Mean repeat co-authors,0.52,0.44,0.6
1984,Female,Authors (000s),0.04,0.04,0.04
1984,Female,Mean co-authors (degree),1.55,1.27,1.91
1984,Female,Mean co-authored papers,1.95,1.48,2.66
1984,Female,Mean repeat co-authors,0.45,0.23,0.68
1984,Male,Authors (000s),0.55,0.55,0.55
1984,Male,Mean co-authors (degree),2.04,1.86,2.25
1984,Male,Mean co-authored papers,2.36,2.11,2.68
1984,Male,Mean repeat co-authors,0.52,0.44,0.62
1984,Unknown,Authors (000s),0,0,0
1984,Unknown,Mean co-authors (degree),1.25,1,1.75
1984,Unknown,Mean co-authored papers,2,2,2
1984,Unknown,Mean repeat co-authors,1,1,1
1985,Any,Authors (000s),0.65,0.65,0.65
1985,Any,Mean co-authors (degree),2.1,1.94,2.25
1985,Any,Mean co-authored papers,2.49,2.26,2.71
1985,Any,Mean repeat co-authors,0.57,0.5,0.64
1985,Female,Authors (000s),0.06,0.06,0.06
1985,Female,Mean co-authors (degree),1.68,1.4,1.95
1985,Female,Mean co-authored papers,1.89,1.42,2.3
1985,Female,Mean repeat co-authors,0.39,0.23,0.56
1985,Male,Authors (000s),0.59,0.59,0.59
1985,Male,Mean co-authors (degree),2.15,1.99,2.34
1985,Male,Mean co-authored papers,2.55,2.29,2.86
1985,Male,Mean repeat co-authors,0.59,0.5,0.7
1985,Unknown,Authors (000s),0,0,0
1985,Unknown,Mean co-authors (degree),1.25,1,1.75
1985,Unknown,Mean co-authored papers,1.75,1.25,2
1985,Unknown,Mean repeat co-authors,0.75,0.25,1
1986,Any,Authors (000s),0.72,0.72,0.72
1986,Any,Mean co-authors (degree),2.23,2.06,2.41
1986,Any,Mean co-authored papers,2.7,2.43,2.99
1986,Any,Mean repeat co-authors,0.62,0.54,0.71
