Year,Type,Count,% of teams
1973,All female,0,0
1973,All male,24,100
1973,Mixed,0,0
1974,All female,5,11.11
1974,All male,38,84.44
1974,Mixed,2,4.44
1975,All female,1,2.17
1975,All male,44,95.65
1975,Mixed,1,2.17
1976,All female,0,0
1976,All male,35,94.59
1976,Mixed,2,5.41
1977,All female,2,3.39
1977,All male,50,84.75
1977,Mixed,7,11.86
1978,All female,0,0
1978,All male,64,94.12
1978,Mixed,4,5.88
1979,All female,1,0.89
1979,All male,103,91.96
1979,Mixed,8,7.14
1980,All female,8,3.7
1980,All male,197,91.2
1980,Mixed,11,5.09
1981,All female,2,0.86
1981,All male,219,94.4
1981,Mixed,11,4.74
1982,All female,1,0.44
1982,All male,218,95.61
1982,Mixed,9,3.95
1983,All female,1,0.49
1983,All male,190,92.68
1983,Mixed,14,6.83
1984,All female,3,1.05
1984,All male,267,93.03
1984,Mixed,17,5.92
1985,All female,8,3.04
1985,All male,237,90.11
1985,Mixed,18,6.84
1986,All female,8,2.36
1986,All male,315,92.92
1986,Mixed,16,4.72
1987,All female,15,4.13
1987,All male,320,88.15
1987,Mixed,28,7.71
1988,All female,18,5.36
1988,All male,290,86.31
1988,Mixed,28,8.33
1989,All female,17,3.99
1989,All male,370,86.85
1989,Mixed,39,9.15
1990,All female,21,5.8
1990,All male,305,84.25
1990,Mixed,36,9.94
1991,All female,25,6.14
1991,All male,338,83.05
1991,Mixed,44,10.81
1992,All female,21,6.48
1992,All male,264,81.48
1992,Mixed,39,12.04
1993,All female,28,7.33
1993,All male,295,77.23
1993,Mixed,59,15.45
1994,All female,24,5.8
1994,All male,327,78.99
1994,Mixed,63,15.22
1995,All female,29,6.43
1995,All male,341,75.61
1995,Mixed,81,17.96
1996,All female,24,4.77
1996,All male,405,80.52
1996,Mixed,74,14.71
1997,All female,22,4.54
1997,All male,374,77.11
1997,Mixed,89,18.35
1998,All female,25,4.73
1998,All male,419,79.36
1998,Mixed,84,15.91
1999,All female,34,5.59
1999,All male,470,77.3
1999,Mixed,104,17.11
2000,All female,36,5.51
2000,All male,500,76.57
2000,Mixed,117,17.92
2001,All female,33,5.12
2001,All male,501,77.67
2001,Mixed,111,17.21
2002,All female,42,5.9
2002,All male,527,74.02
2002,Mixed,143,20.08
2003,All female,50,6.33
2003,All male,578,73.16
2003,Mixed,162,20.51
2004,All female,44,5.36
2004,All male,578,70.4
2004,Mixed,199,24.24
2005,All female,51,5.68
2005,All male,628,69.93
2005,Mixed,219,24.39
2006,All female,43,4.76
2006,All male,628,69.47
2006,Mixed,233,25.77
2007,All female,56,6.21
2007,All male,594,65.85
2007,Mixed,252,27.94
2008,All female,58,6.39
2008,All male,583,64.28
2008,Mixed,266,29.33
2009,All female,47,4.71
2009,All male,682,68.34
2009,Mixed,269,26.95
2010,All female,43,4.21
2010,All male,676,66.21
2010,Mixed,302,29.58
2011,All female,57,5.4
2011,All male,637,60.32
2011,Mixed,362,34.28
2012,All female,41,4.36
2012,All male,605,64.29
2012,Mixed,295,31.35
2013,All female,55,5
2013,All male,692,62.91
2013,Mixed,353,32.09
2014,All female,61,5.87
2014,All male,647,62.27
2014,Mixed,331,31.86
2015,All female,53,5.22
2015,All male,598,58.86
2015,Mixed,365,35.93
2016,All female,60,5.14
2016,All male,721,61.73
2016,Mixed,387,33.13
2017,All female,51,4.42
2017,All male,661,57.28
2017,Mixed,442,38.3
2018,All female,78,6.36
2018,All male,682,55.63
2018,Mixed,466,38.01
2019,All female,55,4.69
2019,All male,629,53.62
2019,Mixed,489,41.69
